2015 FL290,2082-2085,2,8.00E-06,10.85,22,0.13,-3.83,-3.92,0
2015 DA54,2107-2107,1,4.70E-08,23.13,20.8,0.23,-5.27,-5.27,0
2015 FQ332,2082-2101,7,1.30E-05,7.06,25.3,0.03,-5.32,-5.7,0
2015 FN36,2100-2113,3,9.50E-07,22.04,23.9,0.057,-5.47,-5.6,0
2015 EO,2050-2077,8,6.70E-06,14.24,26.6,0.016,-5.91,-6.14,0
2015 DD54,2114-2114,1,2.10E-06,6.7,25.4,0.028,-6.35,-6.35,0
2015 ET,2076-2114,9,3.70E-06,11.65,26.7,0.016,-6.42,-6.98,0
2015 FF36,2073-2112,3,1.80E-06,8.71,26.5,0.017,-6.71,-6.86,0
2015 CL13,2090-2106,3,6.60E-08,13.69,25.7,0.025,-7.65,-7.89,0
2015 EG,2115-2115,1,1.10E-07,9.56,25.8,0.024,-7.69,-7.69,0
2015 EG7,2093-2110,3,3.70E-08,12.8,27.4,0.011,-8.74,-8.79,0
2015 FL290,2082-2085,2,8.00E-06,10.85,22,0.13,-3.83,-3.92,0
2015 DA54,2107-2107,1,4.70E-08,23.13,20.8,0.23,-5.27,-5.27,0
2015 FQ332,2082-2101,7,1.30E-05,7.06,25.3,0.03,-5.32,-5.7,0
2015 FN36,2100-2113,3,9.50E-07,22.04,23.9,0.057,-5.47,-5.6,0
2015 EO,2050-2077,8,6.70E-06,14.24,26.6,0.016,-5.91,-6.14,0
2015 DD54,2114-2114,1,2.10E-06,6.7,25.4,0.028,-6.35,-6.35,0
2015 ET,2076-2114,9,3.70E-06,11.65,26.7,0.016,-6.42,-6.98,0
2015 FF36,2073-2112,3,1.80E-06,8.71,26.5,0.017,-6.71,-6.86,0
2015 CL13,2090-2106,3,6.60E-08,13.69,25.7,0.025,-7.65,-7.89,0
2015 EG,2115-2115,1,1.10E-07,9.56,25.8,0.024,-7.69,-7.69,0
2015 EG7,2093-2110,3,3.70E-08,12.8,27.4,0.011,-8.74,-8.79,0
410777 (2009 FD),2185-2196,5,2.90E-03,15.87,22.1,0.47,-0.4,-0.44,(*)
101955 Bennu (1999 RQ36),2175-2199,78,3.70E-04,5.99,20.2,0.49,-1.71,-2.32,(*)
29075 (1950 DA),2880-2880,1,5.00E-05,14.1,17.6,1.3,-1.81,-1.81,(*)
2007 VE191,2015-2026,2,1.60E-05,16.91,23.7,0.063,-2.47,-2.47,0
2001 VB,2023-2037,3,1.40E-07,35.49,18.3,0.749,-2.69,-2.77,0
2001 QJ96,2044-2053,8,3.00E-05,24.99,22.2,0.121,-2.7,-2.74,0
1979 XB,2056-2113,4,9.70E-07,23.62,18.6,0.656,-2.76,-3.08,0
99942 Apophis (2004 MN4),2060-2105,12,8.90E-06,5.85,19.1,0.37,-2.83,-2.93,0
1994 WR12,2054-2113,125,9.90E-05,9.69,22.1,0.13,-2.83,-3.61,0
2007 FT3,2019-2112,125,1.10E-06,17,20,0.34,-2.99,-3.37,0
2000 SG344,2069-2100,50,1.40E-03,1.36,24.8,0.037,-3.1,-3.37,0
2010 RF12,2095-2113,50,5.80E-02,5.1,28.4,0.007,-3.26,-3.26,0
2011 CC22,2045-2109,16,3.10E-06,18.8,21.3,0.18,-3.38,-3.43,0
2011 BT59,2052-2096,5,6.60E-07,37.81,20.8,0.24,-3.42,-3.43,0
2008 UV99,2019-2108,29,2.60E-07,15.63,19.6,0.4,-3.43,-3.57,0
2013 NH6,2060-2060,2,2.80E-05,21.72,23.4,0.073,-3.44,-3.45,0
2007 WP3,2099-2113,15,1.10E-04,13.06,23.5,0.067,-3.49,-3.64,0
2009 JF1,2022-2022,1,2.40E-04,23.92,27.1,0.013,-3.5,-3.5,0
2007 KO4,2015-2113,245,5.20E-06,13.7,23.3,0.075,-3.53,-3.59,0
2005 ED224,2018-2064,6,4.30E-06,25.56,23.9,0.055,-3.61,-3.81,0
2008 UB7,2044-2109,40,3.70E-05,18.58,23.8,0.058,-3.66,-4.11,0
2007 SN6,2022-2044,2,2.10E-05,19.01,25,0.034,-3.66,-3.67,0
2006 JY26,2073-2100,58,1.40E-02,3,28.4,0.007,-3.77,-3.78,0
2001 CA21,2025-2105,11,3.20E-08,31.33,18.5,0.681,-3.78,-3.96,0
2005 WG57,2029-2096,6,1.10E-05,9.91,23.6,0.063,-3.86,-3.88,0
2009 BE,2061-2112,32,6.00E-04,11.46,26.1,0.02,-3.9,-4.21,0
1994 GK,2051-2073,6,4.00E-05,14.87,24.2,0.048,-3.91,-3.92,0
2013 VW13,2071-2084,8,4.60E-04,16.35,26.2,0.019,-3.91,-4.08,0
2008 CE22,2113-2114,4,1.30E-03,8.46,26.4,0.018,-3.94,-3.94,0
2010 TK55,2080-2112,10,8.10E-05,10.59,24.1,0.051,-3.99,-4.04,0
2001 BA16,2033-2105,46,2.10E-04,4.9,25.8,0.023,-4.01,-4.21,0
2007 DX40,2052-2113,29,4.90E-05,15.96,24.6,0.042,-4.02,-4.09,0
2010 UK,2068-2113,20,1.10E-03,6.08,26.8,0.014,-4.05,-4.06,0
2006 WP1,2015-2015,1,5.70E-05,18.02,28.2,0.008,-4.06,-4.06,0
2010 GM23,2087-2114,29,9.60E-05,13.45,24.7,0.04,-4.06,-4.67,0
2010 QG2,2051-2064,6,2.40E-05,12.91,24.2,0.048,-4.12,-4.28,0
2012 HG2,2053-2098,286,1.20E-03,3.31,27,0.014,-4.13,-4.68,0
2010 WC9,2027-2114,16,3.90E-06,12.67,23.4,0.07,-4.15,-4.18,0
2008 CC71,2034-2082,21,6.40E-05,8.09,24.9,0.036,-4.16,-4.43,0
2006 AU3,2072-2100,2,6.00E-04,7.43,26.3,0.019,-4.17,-4.3,0
2014 GN1,2061-2061,2,2.30E-05,21.23,24.6,0.04,-4.17,-4.17,0
2012 QD8,2047-2105,3,3.00E-06,20.76,23.1,0.081,-4.17,-4.18,0
2002 MN,2100-2109,3,2.00E-05,10.41,23.3,0.073,-4.17,-4.17,0
2010 XA68,2020-2114,54,3.40E-07,31.45,21.7,0.151,-4.19,-4.92,0
2012 VE77,2033-2035,2,8.60E-05,15.33,26.3,0.018,-4.19,-4.2,0
2000 SB45,2074-2105,48,5.40E-05,7.67,24.3,0.047,-4.2,-4.69,0
2005 LM3,2040-2083,2,1.70E-04,8.81,26.3,0.018,-4.22,-4.22,0
2014 NZ64,2017-2113,399,2.10E-06,6.63,22.5,0.108,-4.29,-5.03,0
2008 JL3,2030-2112,17,8.60E-05,8.34,25.3,0.029,-4.32,-4.6,0
2007 TC14,2082-2082,1,1.10E-06,25.54,22.1,0.13,-4.36,-4.36,0
2014 JU15,2079-2114,76,5.30E-05,10.34,24.7,0.039,-4.37,-5.06,0
2001 BB16,2072-2114,6,7.10E-06,3.4,22.6,0.1,-4.4,-4.46,0
2006 DM63,2031-2108,25,1.20E-04,10.37,26.7,0.015,-4.41,-4.69,0
2010 CR5,2062-2075,3,6.10E-08,23.1,19.8,0.362,-4.42,-4.52,0
2012 MF7,2046-2092,12,2.20E-04,8.7,26.8,0.015,-4.46,-4.5,0
2012 BA77,2025-2088,29,4.70E-05,12.58,25.9,0.023,-4.46,-4.97,0
2010 MA113,2034-2112,460,5.30E-06,3.08,23.4,0.078,-4.46,-5.35,0
2011 EB74,2032-2113,305,3.20E-04,7.55,26.9,0.014,-4.53,-5.47,0
2011 UM169,2098-2107,22,4.40E-05,13.97,25.1,0.033,-4.57,-4.78,0
2006 BC8,2050-2112,26,4.10E-05,13.16,25.1,0.032,-4.59,-4.91,0
2005 VL1,2021-2113,66,4.90E-05,6.34,26.8,0.015,-4.6,-4.62,0
2013 GM3,2028-2114,159,1.60E-04,7.14,26.2,0.019,-4.6,-5.3,0
2010 DJ77,2019-2113,46,5.30E-08,17.06,21.1,0.2,-4.62,-5.41,0
2002 EM7,2093-2106,6,2.20E-05,10.27,24.4,0.045,-4.62,-4.96,0
2014 CR13,2103-2113,17,9.80E-05,12.29,25.7,0.024,-4.62,-4.7,0
2011 YV62,2076-2087,9,2.40E-07,18.2,21,0.21,-4.63,-4.95,0
2011 SR52,2034-2034,1,2.50E-10,13.53,15.6,2.6,-4.63,-4.63,0
2002 RB182,2064-2112,15,3.10E-06,14.14,22.8,0.092,-4.66,-4.84,0
2009 JL2,2087-2087,2,8.90E-05,12.79,26,0.021,-4.66,-4.68,0
2013 TP4,2026-2026,1,2.80E-05,25.3,27.3,0.012,-4.67,-4.67,0
2011 BL45,2050-2104,40,5.20E-04,1.68,27.2,0.013,-4.68,-4.82,0
2011 VG9,2086-2112,6,7.60E-07,24.17,22.2,0.121,-4.69,-5.18,0
2008 ST7,2068-2111,22,1.40E-05,9.98,24.1,0.052,-4.7,-5.1,0
2008 PK9,2045-2065,11,8.00E-07,26.38,23.2,0.077,-4.71,-5.13,0
2014 WA201,2075-2084,7,1.70E-04,11.58,26.8,0.015,-4.71,-4.71,0
2011 DU9,2046-2059,3,9.70E-05,8.76,26.7,0.016,-4.71,-4.72,0
1995 CS,2027-2073,9,7.60E-06,25.44,25.5,0.028,-4.72,-4.74,0
2010 MY112,2018-2107,33,3.10E-08,23.82,20.7,0.25,-4.72,-5.16,0
2011 SO189,2056-2090,12,1.00E-04,12.99,26.5,0.017,-4.74,-5.15,0
2011 ES4,2031-2112,48,5.10E-05,7.76,25.7,0.025,-4.77,-4.96,0
2010 CA55,2021-2074,4,5.60E-08,24.03,22,0.14,-4.78,-4.88,0
2005 TH50,2029-2091,32,2.90E-04,4.77,28,0.008,-4.78,-4.85,0
2015 BS516,2022-2107,29,2.40E-08,13.05,19.9,0.36,-4.8,-5.24,0
2012 EK5,2070-2111,12,3.50E-05,15.12,25.5,0.026,-4.82,-5.06,0
1994 GV,2036-2113,52,3.10E-04,8.09,27.5,0.011,-4.87,-5.54,0
2013 WM,2047-2105,2,8.50E-07,35.62,23.9,0.056,-4.87,-4.92,0
2005 XA8,2063-2086,21,3.20E-05,12.06,25.6,0.025,-4.88,-5.22,0
2012 ES10,2054-2064,7,1.30E-06,24.35,23.7,0.061,-4.88,-5.2,0
2011 XC2,2056-2056,1,6.60E-07,20.75,23,0.085,-4.88,-4.88,0
2014 FX32,2076-2108,4,2.10E-05,9.05,25.1,0.033,-4.89,-4.89,0
2007 HB15,2055-2112,46,3.70E-04,6.34,27.8,0.01,-4.89,-5,0
2008 EZ84,2072-2109,8,6.70E-05,7.91,26.2,0.02,-4.92,-5.02,0
2008 TE,2023-2047,3,4.30E-05,11.84,27.7,0.01,-4.92,-4.93,0
2011 OB26,2096-2113,22,4.40E-05,11,25.6,0.026,-4.93,-5.18,0
2010 XN69,2020-2112,149,6.90E-05,6.66,26.3,0.019,-4.94,-6.23,0
2006 HF6,2077-2111,11,6.40E-06,16.57,24.4,0.044,-4.94,-5.6,0
2010 JH80,2074-2082,3,3.50E-06,26.9,24.5,0.042,-4.94,-4.95,0
2014 MV67,2018-2022,3,1.20E-09,13.4,19,0.545,-4.95,-5.13,0
2008 HJ,2077-2114,23,5.90E-05,7.53,25.7,0.024,-4.95,-5.54,0
2007 VE8,2062-2062,1,2.00E-05,9.05,25.4,0.028,-4.97,-4.97,0
2009 HW67,2046-2079,5,1.40E-05,22.52,26.1,0.02,-4.98,-5.24,0
2009 BR5,2059-2078,2,3.10E-07,18.02,22.1,0.13,-5.01,-5.14,0
2013 HT150,2025-2113,111,1.90E-05,13.77,25.5,0.026,-5.01,-5.62,0
2014 ML67,2019-2113,27,6.80E-07,21.17,24.2,0.05,-5.01,-5.24,0
2009 WP6,2067-2111,52,3.70E-05,25.35,26.8,0.015,-5.02,-5.31,0
2010 JA43,2018-2113,93,8.30E-08,15.13,21.6,0.159,-5.03,-5.67,0
2011 TO,2049-2101,23,5.10E-05,8.56,26.3,0.019,-5.03,-5.45,0
2010 LJ68,2020-2111,44,8.20E-07,9.71,22.9,0.089,-5.06,-5.9,0
2012 AP10,2069-2112,73,9.80E-05,3.57,26.4,0.018,-5.06,-5.74,0
2010 KV7,2034-2114,45,3.30E-05,5.38,26,0.021,-5.08,-5.46,0
2012 DW60,2083-2114,13,9.60E-05,5.39,26.5,0.017,-5.08,-5.1,0
2014 MO68,2017-2113,250,1.50E-06,8.34,23.5,0.067,-5.09,-6.1,0
2002 XV90,2090-2113,14,2.40E-05,7.68,25.2,0.031,-5.1,-5.33,0
2008 KO,2049-2061,3,1.40E-06,23.48,24.4,0.045,-5.12,-5.5,0
2008 FF5,2060-2064,2,1.90E-07,39.42,23.1,0.081,-5.13,-5.23,0
2006 CD,2015-2113,56,1.90E-08,11.21,21,0.213,-5.13,-5.4,0
1996 TC1,2054-2072,4,1.10E-06,24.01,23.9,0.055,-5.15,-5.17,0
2014 MA68,2019-2114,412,2.00E-05,4.95,25.9,0.022,-5.16,-6.11,0
2013 BL18,2070-2092,5,2.50E-05,14.19,26,0.022,-5.16,-5.26,0
2010 XB73,2016-2112,63,2.30E-07,5.91,22.5,0.11,-5.17,-5.62,0
2012 SY49,2031-2095,12,8.90E-06,15.64,25.8,0.023,-5.19,-5.41,0
2010 VQ,2034-2107,47,1.30E-04,4.58,27.7,0.01,-5.21,-5.54,0
2006 JE,2080-2080,1,8.10E-07,26.76,23.8,0.059,-5.23,-5.23,0
2006 QN111,2079-2079,1,2.10E-06,10.55,23.8,0.06,-5.25,-5.25,0
2006 QV89,2019-2040,5,1.20E-06,5.17,25.3,0.03,-5.28,-5.28,0
2008 YO2,2052-2109,40,6.30E-06,16.48,25.2,0.031,-5.31,-5.91,0
2010 MZ112,2029-2114,149,7.10E-06,1.6,25.4,0.028,-5.31,-6.49,0
2011 BG10,2051-2074,4,1.40E-05,12.3,26.3,0.019,-5.33,-5.58,0
2005 AU3,2065-2114,37,2.50E-05,13.34,26.2,0.02,-5.33,-5.9,0
2009 FZ4,2015-2110,316,3.10E-06,10.12,25.2,0.031,-5.34,-6.19,0
2004 MC,2072-2105,3,9.40E-07,9.7,23.2,0.079,-5.34,-5.56,0
2008 VS4,2015-2112,286,6.50E-07,9.23,24.1,0.05,-5.35,-6.13,0
2014 JR24,2069-2114,33,8.90E-04,3.73,29.3,0.005,-5.38,-5.4,0
2007 EH26,2085-2106,12,1.60E-06,20.45,24.2,0.049,-5.39,-6.06,0
2000 LG6,2075-2113,43,9.50E-04,2.11,29,0.005,-5.39,-5.86,0
2010 VW194,2047-2110,20,4.40E-05,7.34,26.5,0.017,-5.39,-5.86,0
2013 JA17,2035-2113,5,3.80E-09,9.21,19.1,0.502,-5.39,-5.45,0
2010 TW149,2068-2113,42,1.20E-05,16.99,25.9,0.023,-5.41,-5.86,0
2007 UO6,2031-2113,13,2.40E-05,11.69,27.3,0.011,-5.41,-5.68,0
2007 UD6,2061-2092,26,2.40E-04,5.99,28.3,0.007,-5.42,-5.47,0
2013 VJ13,2099-2099,2,1.20E-06,16.1,23.8,0.06,-5.43,-5.6,0
2014 YN,2095-2114,17,2.90E-05,3.27,25.8,0.023,-5.43,-5.98,0
2010 JH110,2071-2092,4,3.00E-05,8.06,26.3,0.019,-5.43,-5.78,0
2007 CC27,2056-2102,33,4.30E-05,10.91,26.9,0.014,-5.43,-5.79,0
2005 TM173,2015-2110,125,8.60E-07,8.66,24.1,0.051,-5.45,-6.29,0
2011 AM37,2044-2114,131,9.80E-04,3.65,29.7,0.004,-5.45,-5.84,0
2015 BW516,2046-2085,8,5.30E-05,11.42,27.7,0.01,-5.46,-5.61,0
2013 EV27,2038-2070,4,1.40E-05,12.37,27,0.014,-5.46,-5.46,0
2012 BU1,2086-2114,24,1.40E-04,8.96,27.7,0.01,-5.48,-5.91,0
2011 AK37,2097-2097,1,6.40E-06,11.87,25.2,0.031,-5.49,-5.49,0
2012 TC4,2020-2026,7,5.50E-06,6.52,26.7,0.015,-5.5,-6.02,0
2011 SM173,2058-2112,11,5.40E-05,14.24,27.8,0.009,-5.51,-5.54,0
2011 MX,2064-2092,21,3.40E-05,12.19,26.9,0.014,-5.51,-6.03,0
2013 FU13,2081-2098,5,7.70E-05,5.72,27.2,0.012,-5.52,-5.83,0
2006 BM8,2106-2114,7,7.40E-06,14.64,25.4,0.028,-5.53,-5.69,0
2010 DG77,2023-2111,144,1.50E-06,2.39,24.5,0.044,-5.54,-6.23,0
2004 XG29,2089-2107,3,1.00E-05,5.15,25.4,0.029,-5.55,-5.57,0
2012 LJ,2051-2072,2,3.60E-06,18.69,25.6,0.026,-5.58,-5.6,0
2009 CZ1,2058-2102,3,8.50E-07,17.81,24.4,0.044,-5.59,-5.73,0
2008 DA4,2100-2100,1,1.40E-06,11.03,23.9,0.056,-5.59,-5.59,0
2001 GP2,2075-2098,15,4.70E-05,2.54,26.9,0.014,-5.61,-5.68,0
1998 SH2,2062-2097,2,2.40E-08,18.34,20.9,0.23,-5.63,-5.73,0
2008 EX5,2061-2083,7,7.80E-07,9.93,23.8,0.059,-5.63,-5.96,0
2006 SC,2053-2053,1,2.20E-06,12.23,25.2,0.031,-5.63,-5.63,0
2014 UD57,2076-2108,6,1.30E-05,8.69,25.8,0.023,-5.63,-5.66,0
2011 BF40,2083-2083,1,1.70E-06,18.5,24.8,0.037,-5.63,-5.63,0
2010 UJ,2024-2109,101,8.00E-06,2.83,26.2,0.019,-5.63,-6.12,0
2004 HM,2113-2113,1,5.50E-07,12.42,23.1,0.08,-5.63,-5.63,0
2006 SR131,2071-2113,12,9.20E-05,8.49,28,0.009,-5.64,-5.65,0
2013 XK22,2101-2101,1,2.20E-06,6.9,24.2,0.05,-5.65,-5.65,0
2009 TU,2086-2111,6,3.50E-05,15.15,27.4,0.011,-5.65,-6.07,0
2004 ME6,2020-2113,36,9.90E-08,11.6,22.8,0.093,-5.66,-6.23,0
2012 DJ54,2068-2114,32,2.20E-04,5.43,28.5,0.007,-5.66,-5.91,0
2008 CT1,2030-2114,90,4.10E-05,13.64,27.6,0.01,-5.68,-5.93,0
2004 VZ14,2081-2109,6,3.10E-06,15.38,25.2,0.03,-5.68,-5.82,0
2001 UD5,2054-2068,3,7.90E-08,17.01,22.3,0.12,-5.68,-5.76,0
2009 WZ53,2020-2098,7,2.10E-07,18.97,24.1,0.052,-5.69,-6.01,0
2014 GY44,2074-2089,4,3.80E-06,12.32,25.4,0.028,-5.71,-5.91,0
2008 KN11,2046-2046,1,1.60E-07,13.83,23.3,0.075,-5.71,-5.71,0
2007 DS7,2047-2114,20,7.10E-06,12.17,25.9,0.023,-5.72,-6.22,0
2011 AY22,2044-2112,29,2.90E-05,12.99,27.1,0.013,-5.73,-6.44,0
2004 PU42,2057-2112,17,1.80E-05,10.1,26.8,0.015,-5.74,-5.96,0
2012 BL14,2023-2112,137,1.50E-05,19.94,28.2,0.008,-5.75,-6.12,0
2006 WV29,2051-2110,21,6.60E-06,16.88,26.5,0.017,-5.75,-6.09,0
2009 HC,2095-2114,11,4.30E-06,3.74,24.8,0.038,-5.76,-6.15,0
2006 GU2,2041-2113,56,7.00E-05,7.28,27.8,0.009,-5.77,-5.94,0
2014 QC391,2078-2114,32,5.80E-05,7.61,27.5,0.011,-5.78,-6.19,0
2011 EB,2070-2077,3,1.90E-05,10.31,26.9,0.014,-5.78,-5.84,0
2012 BK14,2022-2114,535,3.90E-05,3.64,28,0.009,-5.8,-6.38,0
2014 WZ365,2050-2064,10,3.10E-06,11.08,25.6,0.025,-5.81,-6.16,0
2002 RC117,2053-2064,2,1.10E-06,11.84,24.8,0.037,-5.82,-6.09,0
2012 TV,2070-2096,11,1.60E-06,16.67,25.2,0.031,-5.82,-6.26,0
2007 TL16,2074-2092,13,8.80E-06,11.43,26.2,0.019,-5.82,-5.95,0
2008 LG2,2058-2108,15,5.50E-06,4.53,25.2,0.03,-5.83,-6.18,0
2012 WS3,2082-2113,30,9.00E-06,8.78,25.9,0.022,-5.83,-6.74,0
2012 VS76,2084-2111,8,1.80E-05,11.5,26.9,0.014,-5.84,-6.12,0
2010 EN44,2015-2110,26,2.00E-07,2.38,26.7,0.018,-5.84,-5.97,0
2007 TX22,2045-2090,81,7.30E-05,8.53,28.4,0.007,-5.84,-6.27,0
2009 VA,2025-2043,10,2.20E-05,8.25,28.6,0.006,-5.86,-5.88,0
2011 FQ6,2051-2114,26,4.10E-05,10.5,27.7,0.01,-5.87,-6.05,0
2014 NJ65,2022-2041,4,7.30E-10,8.58,19.3,0.461,-5.88,-6.02,0
2010 UC7,2112-2112,6,1.80E-06,13.27,24.7,0.038,-5.88,-6.2,0
2014 OY391,2018-2114,128,1.00E-06,14.78,26,0.022,-5.88,-6.5,0
2014 OM207,2101-2101,2,2.70E-04,8.19,29.1,0.005,-5.89,-5.9,0
2007 KE4,2026-2026,1,3.90E-07,10.22,25.2,0.032,-5.91,-5.91,0
2010 UY7,2066-2114,40,1.70E-04,3.87,28.5,0.007,-5.92,-6.23,0
2007 EN88,2040-2106,5,3.00E-06,12.52,26.4,0.018,-5.93,-5.94,0
2014 QF33,2076-2086,3,1.80E-07,23.29,23.7,0.06,-5.94,-6.08,0
2011 DV10,2093-2093,1,9.90E-07,16.27,24.8,0.038,-5.95,-5.95,0
2011 KF36,2022-2106,8,1.20E-09,22.32,20.4,0.28,-5.95,-6.53,0
2005 UL6,2068-2103,7,7.10E-07,12,24.5,0.042,-5.96,-6.19,0
2008 EM68,2015-2110,557,4.10E-06,16.68,27.5,0.01,-5.96,-6.67,0
2012 BG96,2063-2098,9,2.10E-09,8.7,18.9,0.568,-5.97,-6.76,0
2007 UN12,2069-2111,30,1.70E-04,1.58,28.7,0.006,-5.97,-6.93,0
2012 VJ38,2031-2110,15,1.00E-04,4.46,28.5,0.007,-5.98,-6.06,0
2009 FG,2055-2114,18,2.90E-06,9.16,25.5,0.027,-5.99,-6.37,0
2013 RO30,2083-2095,8,8.10E-05,9.26,28.4,0.007,-5.99,-6.12,0
2007 YM,2020-2113,194,4.30E-06,7.58,26.3,0.018,-6.01,-7.01,0
2012 UU68,2101-2101,2,2.80E-07,6.9,23.1,0.082,-6.02,-6.24,0
2013 BR27,2073-2110,43,2.90E-05,10.95,27.7,0.01,-6.03,-6.49,0
2004 FH,2086-2114,8,8.50E-06,6.95,26.1,0.02,-6.04,-6.45,0
2013 HT14,2043-2077,4,2.30E-06,20.53,26.3,0.019,-6.06,-6.24,0
2013 JM22,2095-2095,1,7.00E-08,29.68,23.3,0.075,-6.07,-6.07,0
